Gemeinde	2020-11-01T09:53:55.000Z	2020-11-02T05:51:10.000Z	2020-11-02T14:58:48.000Z	2020-11-03T05:54:06.000Z	2020-11-03T14:50:35.000Z	2020-11-04T04:53:25.000Z	2020-11-04T14:09:45.000Z	2020-11-05T05:09:49.000Z	2020-11-05T07:09:49.000Z	2020-11-05T15:55:55.000Z	2020-11-06T06:52:43.000Z	2020-11-06T11:01:26.000Z	2020-11-06T13:01:26.000Z	2020-11-07T06:52:05.000Z	2020-11-07T11:35:11.000Z	2020-11-08T06:49:42.000Z	2020-11-08T15:43:48.000Z	2020-11-09T08:49:20.000Z	2020-11-09T10:51:03.000Z	2020-11-09T20:50:56.000Z	2020-11-10T12:33:12.000Z	2020-11-11T06:43:08.000Z
Sankt Martin bei Lofer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stuhlfelden	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taxenbach	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unken	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uttendorf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Viehhofen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wald im Pinzgau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Weißbach bei Lofer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zell am See	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Pinzgau - Nicht zugeordnet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
